airfoil,camber,camber_pos,thickness,t_over_c,Re,mach,alpha,CL,CD,CM,Cpmin,Top_Xtr,Bot_Xtr,mach_crit,analysis_confidence
naca0010,0,0,10,0.1,1700000.0,0.43193,-8.0,-0.9705701174396616,0.012307720200843444,0.027139572577815935,-3.969403032880284,0.9999804744292129,0.015447373175118352,0.36637725318528724,0.9706507415897827
naca0010,0,0,10,0.1,1700000.0,0.43193,-7.5,-0.9185621782272106,0.010900872472683341,0.01823345892092196,-3.6629297749959355,0.9999835472505938,0.018529635544393235,0.3787154463159213,0.9687608673395569
naca0010,0,0,10,0.1,1700000.0,0.43193,-7.0,-0.8608373629154981,0.009905016794772932,0.011326625627472485,-3.347606023906931,0.9999861607877386,0.023068705353557515,0.3928080291246828,0.9663078561002674
naca0010,0,0,10,0.1,1700000.0,0.43193,-6.5,-0.7999372393916804,0.009226114010197066,0.0062831490996089236,-3.0253959202617753,0.9999883832229511,0.029383212830878122,0.40897259871874425,0.9633393938735748
naca0010,0,0,10,0.1,1700000.0,0.43193,-6.0,-0.7370514482822801,0.008715265608276054,0.002763893564529667,-2.7016211247235407,0.9973297497201276,0.03753746770675602,0.42742174843048325,0.9600773730434016
naca0010,0,0,10,0.1,1700000.0,0.43193,-5.5,-0.6728724543176585,0.00824783604418274,0.00032498309107580753,-2.3843232063662603,0.9914382771013364,0.04746237574320247,0.4481892646383441,0.9569340718922543
naca0010,0,0,10,0.1,1700000.0,0.43193,-5.0,-0.6079629323355951,0.007793090673852411,-0.001455744876694412,-2.0838327051753054,0.9859511784908264,0.059766682630431674,0.4709827553092726,0.9543221431248811
naca0010,0,0,10,0.1,1700000.0,0.43193,-4.5,-0.5430688137715863,0.007330063043528539,-0.0028525193773580306,-1.8122352238913213,0.9803233985766183,0.07779410206129513,0.4949578897320119,0.9523324011058489
naca0010,0,0,10,0.1,1700000.0,0.43193,-4.0,-0.479398429397072,0.006827145444248134,-0.0038611538515700874,-1.5741953882972217,0.9735819856132273,0.11126636604529183,0.519378557819717,0.9506750471852429
naca0010,0,0,10,0.1,1700000.0,0.43193,-3.5,-0.4175691999577236,0.006307184072109783,-0.004244376048460212,-1.3478138064368175,0.964262249234427,0.16910112492204127,0.5464428278926103,0.9485667791483824
naca0010,0,0,10,0.1,1700000.0,0.43193,-3.0,-0.35664131425970974,0.00588343297840605,-0.004034676424878639,-1.1279101324605956,0.9491228372622345,0.23747782104306678,0.5774541566260375,0.9449275693082918
naca0010,0,0,10,0.1,1700000.0,0.43193,-2.5,-0.296950418966454,0.005527522712976534,-0.003062168121409552,-0.9363177112542481,0.9224751217638117,0.30666469858936635,0.6095465314877969,0.9432958708426405
naca0010,0,0,10,0.1,1700000.0,0.43193,-2.0,-0.23865904369960755,0.005184859670241275,-0.0017937508371300684,-0.8066104304164475,0.877675296470367,0.37978534218867316,0.6348141816081271,0.946209868474839
naca0010,0,0,10,0.1,1700000.0,0.43193,-1.5,-0.18065437790881347,0.004917511362614781,-0.0009579405271922799,-0.6931918643844666,0.8155374267993379,0.455839289093523,0.6599263397886632,0.9497745466121682
naca0010,0,0,10,0.1,1700000.0,0.43193,-1.0,-0.12168415755186524,0.004741781737398231,-0.0005488021042802174,-0.5806513998854872,0.7524405408422961,0.5216669148012517,0.688367835709243,0.9518545057798347
naca0010,0,0,10,0.1,1700000.0,0.43193,-0.5,-0.06139570637918388,0.004618933793071409,-0.00027574658543199005,-0.4824535991146477,0.6999172797246352,0.58614475427887,0.7168406551457784,0.9524273517855832
naca0010,0,0,10,0.1,1700000.0,0.43193,0.0,-7.453334759337304e-16,0.0045704720985608556,2.4033351404934743e-16,-0.4174454289152239,0.6475779578118703,0.6475779578118717,0.7380530493458276,0.9524912269232132
naca0010,0,0,10,0.1,1700000.0,0.43193,0.5,0.06139570637918242,0.004618933793071401,0.00027574658543246775,-0.48245359911464697,0.5861447542788696,0.6999172797246364,0.7168406551457787,0.9524273517855832
naca0010,0,0,10,0.1,1700000.0,0.43193,1.0,0.12168415755186418,0.004741781737398226,0.0005488021042805156,-0.5806513998854859,0.521666914801252,0.7524405408422992,0.6883678357092434,0.9518545057798347
naca0010,0,0,10,0.1,1700000.0,0.43193,1.5,0.18065437790881242,0.0049175113626147675,0.0009579405271926237,-0.6931918643844639,0.4558392890935254,0.8155374267993418,0.6599263397886638,0.9497745466121682
naca0010,0,0,10,0.1,1700000.0,0.43193,2.0,0.23865904369960667,0.005184859670241261,0.0017937508371304335,-0.8066104304164462,0.379785342188675,0.8776752964703699,0.6348141816081273,0.946209868474839
naca0010,0,0,10,0.1,1700000.0,0.43193,2.5,0.296950418966452,0.005527522712976514,0.0030621681214097955,-0.9363177112542452,0.3066646985893678,0.9224751217638124,0.6095465314877974,0.943295870842641
naca0010,0,0,10,0.1,1700000.0,0.43193,3.0,0.356641314259709,0.005883432978406045,0.004034676424879242,-1.1279101324605942,0.23747782104306803,0.9491228372622352,0.5774541566260377,0.9449275693082916
naca0010,0,0,10,0.1,1700000.0,0.43193,3.5,0.41756919995772146,0.006307184072109778,0.004244376048460753,-1.3478138064368161,0.16910112492204213,0.9642622492344273,0.5464428278926106,0.9485667791483822
naca0010,0,0,10,0.1,1700000.0,0.43193,4.0,0.47939842939707156,0.006827145444248134,0.00386115385157054,-1.5741953882972204,0.11126636604529189,0.9735819856132278,0.5193785578197171,0.9506750471852433
naca0010,0,0,10,0.1,1700000.0,0.43193,4.5,0.5430688137715836,0.007330063043528539,0.00285251937735839,-1.8122352238913186,0.07779410206129499,0.9803233985766172,0.49495788973201216,0.9523324011058492
naca0010,0,0,10,0.1,1700000.0,0.43193,5.0,0.6079629323355928,0.007793090673852397,0.0014557448766950925,-2.0838327051753063,0.05976668263043176,0.9859511784908257,0.47098275530927247,0.9543221431248811
naca0010,0,0,10,0.1,1700000.0,0.43193,5.5,0.6728724543176575,0.008247836044182727,-0.0003249830910752548,-2.384323206366259,0.04746237574320222,0.9914382771013361,0.4481892646383442,0.9569340718922543
naca0010,0,0,10,0.1,1700000.0,0.43193,6.0,0.7370514482822783,0.008715265608276063,-0.002763893564529173,-2.7016211247235367,0.03753746770675599,0.9973297497201267,0.42742174843048353,0.9600773730434018
naca0010,0,0,10,0.1,1700000.0,0.43193,6.5,0.799937239391677,0.009226114010197071,-0.006283149099608273,-3.0253959202617566,0.029383212830878122,0.9999883832229511,0.40897259871874525,0.9633393938735746
naca0010,0,0,10,0.1,1700000.0,0.43193,7.0,0.8608373629154965,0.009905016794772941,-0.011326625627472034,-3.347606023906923,0.02306870535355771,0.9999861607877386,0.3928080291246832,0.9663078561002674
naca0010,0,0,10,0.1,1700000.0,0.43193,7.5,0.9185621782272105,0.010900872472683322,-0.018233458920921618,-3.6629297749959298,0.018529635544393346,0.9999835472505938,0.3787154463159215,0.9687608673395569
naca0010,0,0,10,0.1,1700000.0,0.43193,8.0,0.9705701174396608,0.012307720200843456,-0.027139572577815876,-3.9694030328802947,0.015447373175118352,0.9999804744292129,0.3663772531852868,0.9706507415897825
naca0010,0,0,10,0.1,1700000.0,0.43193,8.5,1.011278492167798,0.014198299057460936,-0.03782710527485347,-4.267581189270683,0.013661091543074972,0.9999768619480971,0.3554593953424683,0.9720177135529032
naca0010,0,0,10,0.1,1700000.0,0.43193,9.0,1.03046891272187,0.016522310981678605,-0.049375962622182086,-4.557618431727458,0.013140600699991643,0.999972615129856,0.34572163952507967,0.9729310351466546
naca0010,0,0,10,0.1,1700000.0,0.43193,9.5,1.0165463036236044,0.019110975500605677,-0.059980325745969766,-4.838014064906639,0.013401373549093534,0.9999676225701153,0.33702652503329517,0.9734411597630815
naca0010,0,0,10,0.1,1700000.0,0.43193,10.0,0.9677170700165859,0.02186611311558595,-0.06790118417736152,-5.109336637891636,0.013806297663117287,0.9999617533830767,0.329204589690279,0.9735847628013443
naca0010,0,0,10,0.1,1700000.0,0.43193,10.5,0.8993897345105765,0.024760205275925273,-0.07298804069887728,-5.376018089795903,0.013963962400562711,0.9999548541326648,0.32202028872755856,0.9734079208428787
naca0010,0,0,10,0.1,1700000.0,0.43193,11.0,0.8353462661228293,0.027791515059839417,-0.07676454726595976,-5.642334417610899,0.0137165934891772,0.9999467455164647,0.31529188706408995,0.9729308445644721
naca0010,0,0,10,0.1,1700000.0,0.43193,11.5,0.791149993659306,0.03095404713896354,-0.08097281937022162,-5.90988782827196,0.013040229765574897,0.9999372189622427,0.30893606996365497,0.9721414898459517
